Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/chu/Sonoma/karaf-4.2.8-self/apache-karaf-4.2.8/lock
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2020-03-17T16:32:37,848 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.4 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2020-03-17T16:32:38,398 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Adding features: framework/[4.2.8,4.2.8],kar/[4.2.8,4.2.8],service/[4.2.8,4.2.8],config/[4.2.8,4.2.8],diagnostic/[4.2.8,4.2.8],package/[4.2.8,4.2.8],shell/[4.2.8,4.2.8],feature/[4.2.8,4.2.8],wrap/[2.6.2,2.6.2],jaas/[4.2.8,4.2.8],deployer/[4.2.8,4.2.8],ssh/[4.2.8,4.2.8],management/[4.2.8,4.2.8],system/[4.2.8,4.2.8],log/[4.2.8,4.2.8],eventadmin/[4.2.8,4.2.8],bundle/[4.2.8,4.2.8],instance/[4.2.8,4.2.8]
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Changes to perform:
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   Region: root
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     Bundles to install:
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2020-03-17T16:32:38,621 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2020-03-17T16:32:38,622 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.8
2020-03-17T16:32:38,622 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.8
